,Image,F1,Jaccard,Recall,Precision
44,2605.png,0.7275015733165513,0.5717111770524234,0.9863481228668942,0.576271186440678
45,1529.png,0.9366391184573003,0.8808290155440415,0.9695817490494296,0.9058614564831261
46,574.png,0.9394304051343763,0.8857791225416036,0.9965957446808511,0.8884673748103187
47,2574.png,0.9228176609369734,0.8566958698372966,0.940893470790378,0.9054232804232805
48,1702.png,0.9020332717190387,0.8215488215488216,0.991869918699187,0.8271186440677966
49,1732.png,0.9379432624113475,0.8831385642737897,0.9924953095684803,0.8890756302521008
50,1266.png,0.0,0.0,0.0,0.0
51,1808.png,0.7005444646098005,0.5391061452513967,1.0,0.5391061452513967
52,1085.png,0.7167785234899329,0.5585774058577406,0.5585774058577406,1.0
53,653.png,0.9797453703703703,0.9602949517867272,0.9786127167630058,0.9808806488991889
54,2791.png,0.5682513205448986,0.39689320388349514,0.39797507788161995,0.9931972789115646
55,1187.png,0.9495764421137555,0.9039938556067588,0.9095826893353941,0.9932489451476794
56,2744.png,0.7450746268656717,0.5937202664129401,0.6459627329192547,0.8801128349788434
57,1023.png,0.9298043728423474,0.8688172043010752,0.8773072747014115,0.988984088127295
58,1667.png,0.896551724137931,0.8125,0.8125,1.0
59,904.png,0.946611909650924,0.898635477582846,0.9989165763813651,0.8995121951219512
60,701.png,0.9625578460244005,0.9278183292781833,0.9354047424366312,0.9913344887348353
61,381.png,0.908816880180859,0.8328729281767956,0.9663461538461539,0.8577524893314367
62,478.png,0.0,0.0,0.0,0.0
63,1354.png,0.9538690476190477,0.9118065433854907,0.9816232771822359,0.9276410998552822
64,2701.png,0.9523141654978962,0.9089692101740294,0.9107981220657277,0.9977957384276267
65,1689.png,0.8951965065502183,0.8102766798418972,0.9057437407952872,0.8848920863309353
66,2672.png,0.7345718556480888,0.580492743840702,0.581081081081081,0.9982588508415554
67,2524.png,0.7928496319663512,0.6567944250871081,0.6708185053380783,0.9691516709511568
68,2026.png,0.0,0.0,0.0,0.0
69,2356.png,0.8813160987074031,0.7878151260504201,0.9378349410503751,0.831222292590247
70,527.png,0.9230769230769232,0.8571428571428571,0.9960474308300395,0.8600682593856656
71,1142.png,0.9299867899603699,0.8691358024691358,0.9943502824858758,0.8734491315136477
72,1562.png,0.8119079837618403,0.683371298405467,0.9900990099009901,0.6880733944954128
73,1668.png,0.9289617486338798,0.8673469387755102,0.8947368421052632,0.9659090909090909
74,1837.png,0.9600938967136149,0.9232505643340858,0.9843561973525873,0.9369988545246277
75,294.png,0.946376811594203,0.8982118294360385,0.9107391910739191,0.9849170437405732
76,2157.png,0.29098360655737704,0.17026378896882494,0.17026378896882494,1.0
77,2528.png,0.921181001283697,0.8538791051880057,0.949708840656432,0.8943170488534397
78,2527.png,0.6947693665857427,0.5322962461954683,0.5342837746096402,0.9930599369085173
79,2075.png,0.7834456207892205,0.6439873417721519,0.7391600454029512,0.8333759918095726
80,2322.png,0.8513513513513514,0.7411764705882353,0.7411764705882353,1.0
81,3034.png,0.8280711429753205,0.7065882352941176,0.7074204946996466,0.9983377659574468
82,1851.png,0.840534171249018,0.7249322493224932,0.8081570996978852,0.8756137479541735
83,676.png,0.9546178343949044,0.9131759329779132,0.9166666666666666,0.9958471760797342
84,1818.png,0.8900634249471459,0.8019047619047619,0.9767981438515081,0.8174757281553398
85,2906.png,0.0,0.0,0.0,0.0
86,1840.png,0.8443649373881933,0.7306501547987616,0.9957805907172996,0.7329192546583851
87,560.png,0.41834547792541793,0.26449864498644987,0.26449864498644987,1.0
88,1337.png,0.8579234972677596,0.7511961722488039,0.9978813559322034,0.7523961661341853
89,1384.png,0.8004722550177096,0.6673228346456693,1.0,0.6673228346456693
90,2936.png,0.9031250000000001,0.8233618233618234,0.9262820512820513,0.8810975609756098
91,1579.png,0.9379727685325264,0.8831908831908832,0.9872611464968153,0.8933717579250721
92,678.png,0.9488752556237218,0.9027237354085603,0.9055425448868072,0.9965635738831615
93,555.png,0.9602272727272727,0.9234972677595629,0.9602272727272727,0.9602272727272727
94,1885.png,0.8857142857142857,0.7948717948717948,0.9234042553191489,0.8509803921568627
95,2471.png,0.48679033164699276,0.32169390787518576,1.0,0.32169390787518576
96,1769.png,0.9654811715481171,0.9332659251769464,0.9564766839378238,0.9746568109820486
97,1720.png,0.8823529411764706,0.7894736842105263,0.9016393442622951,0.8638743455497382
98,2465.png,0.7580157289776165,0.6103263516804676,0.998406374501992,0.6109215017064846
99,2255.png,0.2441008950366151,0.13901760889712697,0.1391465677179963,0.9933774834437086
100,1960.png,0.0,0.0,0.0,0.0
101,21.png,0.9417098445595855,0.8898408812729498,0.9891156462585035,0.8986402966625463
102,26.png,0.9262086513994912,0.8625592417061612,0.9837837837837838,0.875
103,2405.png,0.8853279919879821,0.7942497753818508,0.8117539026629935,0.973568281938326
104,335.png,0.905289052890529,0.8269662921348314,0.8421052631578947,0.9787234042553191
105,893.png,0.9278131634819533,0.8653465346534653,0.9732739420935412,0.8864097363083164
106,2606.png,0.7468648397584766,0.5959970348406227,0.7465181058495822,0.7472118959107806
107,11.png,0.9668367346938775,0.9358024691358025,0.9831387808041504,0.9510664993726474
108,2980.png,0.9493914157591288,0.9036585365853659,0.9285714285714286,0.9711664482306684
109,3011.png,0.7866419294990724,0.6483180428134556,0.7969924812030075,0.7765567765567766
110,717.png,0.6467413864674139,0.47791411042944787,0.48041936478569225,0.9892063492063492
111,277.png,0.9829545454545454,0.9664804469273743,0.9817150063051703,0.984197218710493
112,2979.png,0.9560789306174411,0.9158536585365854,0.9317617866004962,0.9816993464052287
113,2275.png,0.8671679197994988,0.7654867256637168,0.7664556962025316,0.998351195383347
114,1866.png,0.5400254129606099,0.3698868581375109,0.3698868581375109,1.0
